Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/GAIL Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/GAIL Reward,Is Training
50000,0.74386925,-0.31089044,4.784439,12.382445,0.06930835,0.00029912635,0.19970879,0.009970908,1.0959029,0.30292934,0.6902842,0.07959945,991.2291666666666,-0.8254625522531569,-0.8254625522531569,339.0992712577184,1.0
100000,0.42775598,-0.11565365,17.026022,6.0916996,0.06885268,0.00029771726,0.19923908,0.009923984,0.8482873,0.28554615,0.7085909,0.044028867,965.2708333333334,-0.7577417193291088,-0.7577417193291088,346.5395947396755,1.0
150000,0.35430315,-0.074084595,25.809713,4.9226527,0.06700611,0.00029622408,0.19874135,0.009874261,0.8847271,0.2999477,0.6965828,0.039831113,941.8823529411765,-0.6288471055381438,-0.6288471055381438,340.03824326571294,1.0
200000,0.42058632,-0.041353446,34.46178,5.252089,0.06836749,0.0002947309,0.19824362,0.009824538,0.99286675,0.35843045,0.6722593,0.0028476588751958766,924.8181818181819,-0.48891277313232423,-0.48891277313232423,407.99632624496115,1.0
250000,0.28926295,0.11224444,44.72811,4.307685,0.069378234,0.00029325183,0.19775063,0.009775287,1.0922257,0.3881928,0.6243971,0.0,793.3582089552239,0.23974238290931238,0.23974238290931238,388.54859008933556,1.0
300000,0.32075226,0.118320055,48.393238,2.7964823,0.06965118,0.0002917534,0.19725114,0.009725387,1.0802499,0.38528547,0.6309163,0.0,708.5797101449275,0.4870399620916162,0.4870399620916162,357.03613498210905,1.0
350000,0.3838355,0.29114994,51.484695,2.4167213,0.068097,0.00029022899,0.196743,0.009674625,1.1093652,0.39691815,0.61794263,0.0,555.1111111111111,1.155917752865288,1.155917752865288,285.9586496690909,1.0
400000,0.40221798,0.24625629,52.41105,2.946806,0.067100756,0.0002887385,0.19624615,0.009624991,1.0894356,0.38842437,0.62354726,0.0,578.1494252873563,1.0999172140640774,1.0999172140640774,300.22623757658334,1.0
450000,0.4002377,0.24617204,53.044704,3.2491343,0.069508925,0.00028726552,0.19575517,0.009575942,1.0772263,0.38461506,0.6281631,0.0,577.8314606741573,1.0625123332223196,1.0625123332223196,283.9622139662839,1.0
500000,0.42593879,0.32583386,53.35234,3.065822,0.06736532,0.000285759,0.19525301,0.009525774,1.0561142,0.377707,0.63771003,0.0,431.04347826086956,1.3601825839799384,1.3601825839799384,214.43038568963175,1.0
550000,0.42002055,0.3917857,52.51513,3.2570953,0.07017645,0.0002842314,0.19474381,0.009474905,1.0300597,0.3668135,0.6456093,0.0,449.9734513274336,1.3552813857661938,1.3552813857661938,217.87195015797573,1.0
600000,0.44026312,0.41518602,52.285336,2.9317672,0.07172509,0.00028274325,0.19424774,0.00942535,1.013016,0.36116198,0.6524878,0.0,430.8532110091743,1.3856109829123961,1.3856109829123961,202.45716479830784,1.0
650000,0.3733096,0.45611897,51.63623,2.838311,0.07312133,0.00028125168,0.19375056,0.009375679,1.0089188,0.3583112,0.6537626,0.0,397.9453125,1.512267699861151,1.512267699861151,188.84966961288546,1.0
700000,0.34237605,0.4032441,50.505478,2.722803,0.07282216,0.00027973045,0.19324346,0.009325023,0.98043555,0.34769455,0.6635274,0.0,412.79338842975204,1.4189516463006535,1.4189516463006535,186.65001949171224,1.0
750000,0.37030694,0.4892316,49.07777,2.8115983,0.07047388,0.00027823917,0.19274639,0.009275364,0.97555923,0.34596124,0.6649567,0.0,354.67832167832165,1.5313710144367711,1.5313710144367711,161.2802906270171,1.0
800000,0.34348437,0.5977306,49.79754,3.7487457,0.06747443,0.00027674573,0.19224858,0.00922563,0.9454696,0.33508763,0.6776188,0.0,319.94303797468353,1.6285528456139717,1.6285528456139717,143.3366599500559,1.0
850000,0.3763571,0.6099347,50.110508,3.7517555,0.06959496,0.00027525847,0.1917528,0.009176104,0.92138296,0.32663867,0.68603235,0.0,335.68027210884355,1.609334675329072,1.609334675329072,146.52698599075785,1.0
900000,0.35689396,0.5704514,49.687153,4.6262164,0.07279315,0.00027376463,0.19125487,0.009126361,0.9011318,0.317247,0.69269586,0.0,335.98639455782313,1.6243006581960082,1.6243006581960082,144.16361275741033,1.0
950000,0.31537253,0.57164556,49.299427,3.4827263,0.06919101,0.00027223842,0.19074614,0.009075538,0.88864595,0.31491873,0.69849205,0.0,328.5986842105263,1.6191581486194742,1.6191581486194742,136.03902997928702,1.0
1000000,0.35145244,0.56743604,46.757854,3.4253776,0.069890775,0.00027075163,0.19025056,0.009026029,0.8539942,0.3018869,0.7095744,0.0,348.82312925170066,1.5818355971411482,1.5818355971411482,139.67165107812338,1.0
1050000,0.33099785,0.690934,46.048798,2.7628572,0.070350654,0.00026926375,0.18975456,0.008976482,0.8467336,0.29928008,0.71311635,0.0,292.6024096385542,1.647893399713996,1.647893399713996,118.35567757125922,1.0
1100000,0.32983756,0.5810641,44.48403,3.0990582,0.06973756,0.0002677491,0.18924971,0.008926045,0.8111181,0.28670797,0.7262306,0.0,342.93243243243245,1.5864261930872654,1.5864261930872654,132.6251255027179,1.0
1150000,0.3625703,0.6205523,43.3328,2.890691,0.06899087,0.0002662587,0.18875287,0.008876412,0.8057278,0.28521442,0.72793967,0.0,312.30817610062894,1.6382235846256616,1.6382235846256616,121.19909202108472,1.0
1200000,0.38837934,0.5801428,41.067623,2.7367432,0.06779027,0.00026477358,0.18825786,0.008826959,0.7816598,0.27532905,0.73609877,0.0,312.87820512820514,1.6117544087899636,1.6117544087899636,116.08795649695057,1.0
1250000,0.38815325,0.5931581,40.5153,2.6506197,0.06745707,0.00026325855,0.18775284,0.008776509,0.76345176,0.26957834,0.7430207,0.0,325.15584415584414,1.594891487626858,1.594891487626858,120.67908608835506,1.0
1300000,0.41262916,0.61365783,39.878857,2.676381,0.06988574,0.00026174347,0.18724781,0.008726057,0.7397724,0.2611036,0.75104433,0.0,311.5217391304348,1.6404135593293625,1.6404135593293625,111.92741577471621,1.0
1350000,0.37616348,0.70795786,40.916607,4.088825,0.07302397,0.0002602477,0.18674923,0.008676249,0.72230804,0.25478175,0.7594136,0.0,285.64606741573033,1.6918741452894854,1.6918741452894854,100.20144554998417,1.0
1400000,0.33379224,0.62921655,40.625916,3.6452904,0.07107239,0.00025874836,0.18624945,0.0086263195,0.70289725,0.24686855,0.7641616,0.0,307.13375796178343,1.6419910052552438,1.6419910052552438,104.06891190509673,1.0
1450000,0.30799273,0.574774,40.0121,3.3438008,0.06744989,0.00025722836,0.18574278,0.008575703,0.6893341,0.24187578,0.7696416,0.0,327.140127388535,1.5965987144014504,1.5965987144014504,110.14179176177028,1.0
